metagenome,source,domain,phylum,class,order,family,genus,species,abundance,avg eValue,avg % ident,avg align len,# hits
4441679.3,M5RNA,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter ruminantium,1,-23,100,55,1
4441679.3,M5RNA,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,1,-47,100,94,1
4441679.3,M5RNA,Bacteria,Actinobacteria,Actinobacteria (class),Coriobacteriales,Coriobacteriaceae,Slackia,Slackia exigua,1,-21,100,50,1
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides coprocola,1,-42,100,86,1
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides coprophilus,2,-25,100,57.5,1
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides plebeius,2,-34.5,100,73,2
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. 2_1_33B,1,-22,100,52,1
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. D2,1,-21,100,50,1
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus,1,-23,100,54,1
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides distasonis,1,-22,100,53,1
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides merdae,1,-27,100,61,1
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas endodontalis,2,-27.5,100,61,1
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella bivia,1,-32,100,70,1
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella melaninogenica,4,-34,100,72.66,2
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella nigrescens,1,-40,100,82,1
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oris,1,-22,100,52,1
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella ruminicola,4,-31,100,67.25,1
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp. oral taxon 299,2,-29.5,100,65,1
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp. oral taxon 317,1,-46,100,92,1
4441679.3,M5RNA,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp. oral taxon 472,3,-29.5,99.75,65.5,2
